,일자,구,일반승차인원,일반하차인원,일반환승인원,청소년승차인원,청소년하차인원,청소년환승인원,평균기온(°C),일강수량(mm),가조시간(hr),평균 지면온도(°C)
667,2023년 07월 25일,중구,119740,107585,25288,125322,111559,26068,25.1,9.1,14.2,27.4
668,2023년 07월 25일,대덕구,73283,65619,15489,76227,67622,15960,25.1,9.1,14.2,27.4
669,2023년 07월 25일,유성구,133075,120926,28240,138784,125562,29070,25.1,9.1,14.2,27.4
670,2023년 07월 26일,동구,140974,125325,35964,146656,129730,37129,25.9,3.7,14.2,31.1
671,2023년 07월 26일,서구,225118,195628,53217,234764,203174,54774,25.9,3.7,14.2,31.1
672,2023년 07월 26일,중구,118611,107141,25412,124282,111090,26183,25.9,3.7,14.2,31.1
673,2023년 07월 26일,대덕구,73933,65147,15245,77051,67202,15730,25.9,3.7,14.2,31.1
674,2023년 07월 26일,유성구,135603,122803,28638,141333,127543,29535,25.9,3.7,14.2,31.1
675,2023년 07월 27일,동구,141492,126192,36067,147188,130609,37164,27.5,0.3,14.1,33.4
676,2023년 07월 27일,서구,220769,191906,52006,230156,199387,53555,27.5,0.3,14.1,33.4
677,2023년 07월 27일,중구,120067,108882,25522,125908,113039,26319,27.5,0.3,14.1,33.4
678,2023년 07월 27일,대덕구,72546,64465,15177,75640,66630,15637,27.5,0.3,14.1,33.4
679,2023년 07월 27일,유성구,135022,123234,28512,140690,127838,29395,27.5,0.3,14.1,33.4
680,2023년 07월 28일,동구,146273,130956,36805,152047,135327,37983,28.4,0.1,14.1,31.4
681,2023년 07월 28일,서구,222060,194573,53564,231462,202036,55214,28.4,0.1,14.1,31.4
682,2023년 07월 28일,중구,121474,109718,25888,127133,113747,26638,28.4,0.1,14.1,31.4
683,2023년 07월 28일,대덕구,75287,67116,15680,78399,69281,16173,28.4,0.1,14.1,31.4
684,2023년 07월 28일,유성구,138329,124482,28638,144192,129334,29584,28.4,0.1,14.1,31.4
685,2023년 07월 29일,동구,112269,100538,25014,116572,103892,25897,29.5,0.0,14.1,36.0
686,2023년 07월 29일,서구,149335,129535,34437,157538,135792,35767,29.5,0.0,14.1,36.0
687,2023년 07월 29일,중구,86443,78210,16856,90730,81332,17428,29.5,0.0,14.1,36.0
688,2023년 07월 29일,대덕구,47490,41531,8916,49848,43205,9333,29.5,0.0,14.1,36.0
689,2023년 07월 29일,유성구,90373,81581,18022,95031,85484,18818,29.5,0.0,14.1,36.0
690,2023년 07월 30일,동구,87106,74622,18079,90663,77310,18749,27.4,31.6,14.1,31.9
691,2023년 07월 30일,서구,107625,92529,25151,114148,97440,26232,27.4,31.6,14.1,31.9
692,2023년 07월 30일,중구,63078,56484,12392,66569,59043,12791,27.4,31.6,14.1,31.9
693,2023년 07월 30일,대덕구,32902,28827,6053,34859,30163,6409,27.4,31.6,14.1,31.9
694,2023년 07월 30일,유성구,65035,60770,13478,68751,63849,14131,27.4,31.6,14.1,31.9
695,2023년 07월 31일,동구,136480,121450,34543,141742,125582,35585,27.8,0.0,14.0,33.3
696,2023년 07월 31일,서구,206517,179486,49424,215521,186656,50952,27.8,0.0,14.0,33.3
697,2023년 07월 31일,중구,113729,102360,24492,119260,106241,25245,27.8,0.0,14.0,33.3
698,2023년 07월 31일,대덕구,68205,60872,14178,70924,62773,14583,27.8,0.0,14.0,33.3
699,2023년 07월 31일,유성구,124043,114029,26858,129373,118478,27789,27.8,0.0,14.0,33.3
700,2023년 08월 01일,동구,133688,119248,34264,139490,123658,35456,29.5,0.0,14.0,32.8
701,2023년 08월 01일,서구,206882,179919,49123,216500,187596,50839,29.5,0.0,14.0,32.8
702,2023년 08월 01일,중구,116155,105303,24812,122713,110028,25780,29.5,0.0,14.0,32.8
703,2023년 08월 01일,대덕구,67927,60459,14045,71218,62646,14497,29.5,0.0,14.0,32.8
704,2023년 08월 01일,유성구,125728,114388,27064,131578,119263,27962,29.5,0.0,14.0,32.8
705,2023년 08월 02일,동구,133839,119138,34037,139535,123477,35168,29.1,0.0,14.0,33.1
706,2023년 08월 02일,서구,212474,184130,50549,222203,191783,52198,29.1,0.0,14.0,33.1
707,2023년 08월 02일,중구,115461,105151,24800,121777,109804,25706,29.1,0.0,14.0,33.1
708,2023년 08월 02일,대덕구,68196,60819,13750,71980,63292,14268,29.1,0.0,14.0,33.1
709,2023년 08월 02일,유성구,125973,114982,26898,132080,120020,27871,29.1,0.0,14.0,33.1
710,2023년 08월 03일,동구,131985,117929,33889,137602,122301,35083,29.2,0.0,14.0,33.7
711,2023년 08월 03일,서구,206208,179711,49484,215790,187188,51059,29.2,0.0,14.0,33.7
712,2023년 08월 03일,중구,114665,104013,23874,120671,108409,24746,29.2,0.0,14.0,33.7
713,2023년 08월 03일,대덕구,68539,60719,14170,72282,63160,14666,29.2,0.0,14.0,33.7
714,2023년 08월 03일,유성구,126162,114414,26737,131951,119211,27659,29.2,0.0,14.0,33.7
715,2023년 08월 04일,동구,136598,122017,34504,141857,125944,35534,29.6,0.0,13.9,35.7
716,2023년 08월 04일,서구,209842,182967,49690,219561,190579,51300,29.6,0.0,13.9,35.7
717,2023년 08월 04일,중구,113003,103681,24102,118523,107693,24857,29.6,0.0,13.9,35.7
718,2023년 08월 04일,대덕구,68148,60437,13877,71717,62741,14313,29.6,0.0,13.9,35.7
719,2023년 08월 04일,유성구,130778,117771,27669,136593,122562,28533,29.6,0.0,13.9,35.7
720,2023년 08월 05일,동구,106869,95606,24075,111029,98773,24834,30.0,0.0,13.9,39.1
721,2023년 08월 05일,서구,144583,125661,33359,152705,131770,34730,30.0,0.0,13.9,39.1
722,2023년 08월 05일,중구,81973,74825,16218,85956,77787,16748,30.0,0.0,13.9,39.1
723,2023년 08월 05일,대덕구,44955,39156,8755,47153,40788,9186,30.0,0.0,13.9,39.1
724,2023년 08월 05일,유성구,88714,80525,18490,93354,84491,19401,30.0,0.0,13.9,39.1
725,2023년 08월 06일,동구,86673,73842,17846,90322,76649,18570,29.5,6.3,13.9,36.7
726,2023년 08월 06일,서구,108740,94391,25588,115578,99618,26678,29.5,6.3,13.9,36.7
727,2023년 08월 06일,중구,62462,55963,12184,66055,58557,12650,29.5,6.3,13.9,36.7
728,2023년 08월 06일,대덕구,33640,29504,6248,35530,30816,6585,29.5,6.3,13.9,36.7
729,2023년 08월 06일,유성구,66198,62232,13838,70164,65525,14530,29.5,6.3,13.9,36.7
730,2023년 08월 07일,동구,133669,120160,34633,138781,124124,35586,29.7,0.0,13.8,35.4
731,2023년 08월 07일,서구,211397,183567,51446,220736,190763,53029,29.7,0.0,13.8,35.4
732,2023년 08월 07일,중구,113405,102030,24686,118589,105739,25380,29.7,0.0,13.8,35.4
733,2023년 08월 07일,대덕구,69846,62833,14607,73611,65284,15089,29.7,0.0,13.8,35.4
734,2023년 08월 07일,유성구,126509,116036,27854,132040,120598,28665,29.7,0.0,13.8,35.4
735,2023년 08월 08일,동구,136122,120835,35226,141443,124966,36288,30.1,0.0,13.8,36.7
736,2023년 08월 08일,서구,217258,189127,52057,227318,196988,53755,30.1,0.0,13.8,36.7
737,2023년 08월 08일,중구,115760,104997,25050,121129,108835,25804,30.1,0.0,13.8,36.7
738,2023년 08월 08일,대덕구,72419,64583,15135,76032,66949,15567,30.1,0.0,13.8,36.7
739,2023년 08월 08일,유성구,129941,119002,28207,135969,124006,29138,30.1,0.0,13.8,36.7
740,2023년 08월 09일,동구,131904,116317,34812,137425,120354,35898,26.4,45.4,13.8,30.1
741,2023년 08월 09일,서구,218330,188557,53450,228163,196096,55075,26.4,45.4,13.8,30.1
742,2023년 08월 09일,중구,104882,95965,24298,109389,99303,25038,26.4,45.4,13.8,30.1
743,2023년 08월 09일,대덕구,70593,62165,14740,74231,64431,15227,26.4,45.4,13.8,30.1
744,2023년 08월 09일,유성구,132754,119497,28698,138797,124283,29594,26.4,45.4,13.8,30.1
745,2023년 08월 10일,동구,92951,80575,23593,95508,82400,24152,21.3,143.3,13.7,22.6
746,2023년 08월 10일,서구,160804,136514,37869,165479,139985,38664,21.3,143.3,13.7,22.6
747,2023년 08월 10일,중구,78069,69717,17530,80025,71141,17843,21.3,143.3,13.7,22.6
748,2023년 08월 10일,대덕구,53455,46992,11032,54866,47934,11300,21.3,143.3,13.7,22.6
749,2023년 08월 10일,유성구,94559,83485,19806,97068,85435,20177,21.3,143.3,13.7,22.6
750,2023년 08월 11일,동구,148915,133941,34754,154941,138526,35854,25.3,8.0,13.7,27.4
751,2023년 08월 11일,서구,227952,199019,54768,238276,206928,56504,25.3,8.0,13.7,27.4
752,2023년 08월 11일,중구,118224,109180,26528,123205,113022,27289,25.3,8.0,13.7,27.4
753,2023년 08월 11일,대덕구,75590,66411,15238,79301,68787,15685,25.3,8.0,13.7,27.4
754,2023년 08월 11일,유성구,138238,123814,28968,144533,128939,29913,25.3,8.0,13.7,27.4
755,2023년 08월 12일,동구,131212,118598,25561,137324,123382,26637,24.2,3.7,13.7,26.2
756,2023년 08월 12일,서구,160524,138305,37211,169471,145002,38741,24.2,3.7,13.7,26.2
757,2023년 08월 12일,중구,95293,89379,19048,100082,93480,19826,24.2,3.7,13.7,26.2
758,2023년 08월 12일,대덕구,53382,44750,9437,56159,46545,9829,24.2,3.7,13.7,26.2
759,2023년 08월 12일,유성구,94112,84814,18516,99474,89152,19501,24.2,3.7,13.7,26.2
760,2023년 08월 13일,동구,102077,88627,19702,106602,92194,20623,26.8,0.0,13.6,29.4
761,2023년 08월 13일,서구,121373,104665,29027,128896,110271,30366,26.8,0.0,13.6,29.4
762,2023년 08월 13일,중구,71059,65739,15526,74913,68756,16230,26.8,0.0,13.6,29.4
763,2023년 08월 13일,대덕구,39979,34777,6946,42189,36266,7306,26.8,0.0,13.6,29.4
764,2023년 08월 13일,유성구,73019,67769,15512,77488,71633,16304,26.8,0.0,13.6,29.4
765,2023년 08월 14일,동구,144760,128731,33705,150686,133139,34760,28.1,0.0,13.6,31.3
766,2023년 08월 14일,서구,213233,186918,51677,222692,194173,53272,28.1,0.0,13.6,31.3
767,2023년 08월 14일,중구,111954,103566,25384,116539,107105,26116,28.1,0.0,13.6,31.3
768,2023년 08월 14일,대덕구,69621,61378,14348,73239,63677,14809,28.1,0.0,13.6,31.3
769,2023년 08월 14일,유성구,125273,114466,27098,131267,119337,28006,28.1,0.0,13.6,31.3
770,2023년 08월 15일,동구,105324,92621,22110,109921,96062,22982,28.1,0.0,13.6,31.1
771,2023년 08월 15일,서구,129238,111868,31001,136698,117577,32269,28.1,0.0,13.6,31.1
772,2023년 08월 15일,중구,71972,66650,15848,75328,69278,16380,28.1,0.0,13.6,31.1
773,2023년 08월 15일,대덕구,42177,37016,7816,44459,38609,8182,28.1,0.0,13.6,31.1
774,2023년 08월 15일,유성구,80051,73495,16360,84646,77266,17164,28.1,0.0,13.6,31.1
775,2023년 08월 16일,동구,154228,138953,38356,160962,144019,39561,27.7,0.0,13.5,31.0
776,2023년 08월 16일,서구,229781,200366,56345,240441,208510,57963,27.7,0.0,13.5,31.0
777,2023년 08월 16일,중구,118818,108499,27058,125348,112830,27949,27.7,0.0,13.5,31.0
778,2023년 08월 16일,대덕구,78433,69744,16268,82732,72528,16777,27.7,0.0,13.5,31.0
779,2023년 08월 16일,유성구,134392,123004,29396,140870,128156,30304,27.7,0.0,13.5,31.0
780,2023년 08월 17일,동구,144691,128889,35625,151885,134218,36805,26.1,1.5,13.5,31.2
781,2023년 08월 17일,서구,225750,196960,54652,236289,204992,56202,26.1,1.5,13.5,31.2
782,2023년 08월 17일,중구,116400,106719,26364,123045,111138,27260,26.1,1.5,13.5,31.2
783,2023년 08월 17일,대덕구,75802,67378,16071,80202,70253,16609,26.1,1.5,13.5,31.2
784,2023년 08월 17일,유성구,134541,123203,28877,140946,128330,29809,26.1,1.5,13.5,31.2
785,2023년 08월 18일,동구,151294,135171,37806,159042,140925,39076,28.3,0.2,13.5,32.6
786,2023년 08월 18일,서구,236183,207570,57058,247729,216264,58756,28.3,0.2,13.5,32.6
787,2023년 08월 18일,중구,123986,113109,26450,131734,118242,27466,28.3,0.2,13.5,32.6
788,2023년 08월 18일,대덕구,79817,71112,16172,84314,74165,16734,28.3,0.2,13.5,32.6
789,2023년 08월 18일,유성구,141796,128295,29376,148826,133935,30358,28.3,0.2,13.5,32.6
790,2023년 08월 19일,동구,122760,109226,27419,127677,113128,28398,28.2,0.0,13.4,32.9
791,2023년 08월 19일,서구,164658,142964,38626,174061,150090,40226,28.2,0.0,13.4,32.9
792,2023년 08월 19일,중구,96144,88159,18616,101534,92114,19365,28.2,0.0,13.4,32.9
793,2023년 08월 19일,대덕구,51235,44772,9543,54062,46785,10040,28.2,0.0,13.4,32.9
794,2023년 08월 19일,유성구,102721,94326,20040,108091,98882,20941,28.2,0.0,13.4,32.9
795,2023년 08월 20일,동구,99324,85174,20245,103464,88385,21089,28.1,0.0,13.4,33.0
796,2023년 08월 20일,서구,123780,106741,29440,131364,112472,30683,28.1,0.0,13.4,33.0
797,2023년 08월 20일,중구,72317,65714,14258,76873,69199,14901,28.1,0.0,13.4,33.0
798,2023년 08월 20일,대덕구,37357,32612,6637,39514,34103,6993,28.1,0.0,13.4,33.0
799,2023년 08월 20일,유성구,76167,72212,15028,80721,76092,15774,28.1,0.0,13.4,33.0
800,2023년 08월 21일,동구,144667,129577,36979,151968,135067,38157,29.2,0.0,13.4,36.2
801,2023년 08월 21일,서구,222104,194300,52836,232417,202049,54361,29.2,0.0,13.4,36.2
802,2023년 08월 21일,중구,121630,109704,26444,129275,114734,27514,29.2,0.0,13.4,36.2
803,2023년 08월 21일,대덕구,74632,67150,15441,79020,69937,15907,29.2,0.0,13.4,36.2
804,2023년 08월 21일,유성구,128243,117769,28222,134642,122892,29092,29.2,0.0,13.4,36.2
805,2023년 08월 22일,동구,146398,130319,38442,153978,135896,39739,27.6,1.5,13.3,33.2
806,2023년 08월 22일,서구,223082,195895,53610,233526,203807,55093,27.6,1.5,13.3,33.2
807,2023년 08월 22일,중구,125494,113913,27408,133395,119035,28494,27.6,1.5,13.3,33.2
808,2023년 08월 22일,대덕구,75287,67495,15408,79651,70273,15885,27.6,1.5,13.3,33.2
809,2023년 08월 22일,유성구,131631,120116,28086,138169,125296,28950,27.6,1.5,13.3,33.2
810,2023년 08월 23일,동구,140400,125256,36350,147978,130821,37614,26.7,22.8,13.3,31.6
811,2023년 08월 23일,서구,222761,193972,52406,233572,202073,54045,26.7,22.8,13.3,31.6
812,2023년 08월 23일,중구,119728,107563,26156,128398,113135,27355,26.7,22.8,13.3,31.6
813,2023년 08월 23일,대덕구,75274,66695,15379,79650,69467,15893,26.7,22.8,13.3,31.6
814,2023년 08월 23일,유성구,129951,117597,27512,136739,122957,28346,26.7,22.8,13.3,31.6
815,2023년 08월 24일,동구,137015,121954,35210,144400,127414,36476,25.5,44.3,13.3,27.1
816,2023년 08월 24일,서구,217437,188825,51793,227520,196466,53316,25.5,44.3,13.3,27.1
817,2023년 08월 24일,중구,119361,108228,25824,127596,113417,26912,25.5,44.3,13.3,27.1
818,2023년 08월 24일,대덕구,73174,64997,15057,77639,67773,15554,25.5,44.3,13.3,27.1
819,2023년 08월 24일,유성구,131058,119792,27782,137618,124966,28653,25.5,44.3,13.3,27.1
820,2023년 08월 25일,동구,157205,140123,39167,165482,146223,40620,26.2,0.0,13.2,28.9
821,2023년 08월 25일,서구,236967,208522,56672,248193,217056,58435,26.2,0.0,13.2,28.9
822,2023년 08월 25일,중구,128565,117024,27296,137743,122892,28502,26.2,0.0,13.2,28.9
823,2023년 08월 25일,대덕구,79409,70995,16066,84153,74065,16578,26.2,0.0,13.2,28.9
824,2023년 08월 25일,유성구,142614,129354,29880,149975,135168,30871,26.2,0.0,13.2,28.9
825,2023년 08월 26일,동구,127541,113782,28178,132599,117720,29068,25.0,0.0,13.2,27.7
826,2023년 08월 26일,서구,165374,144345,38061,174826,151489,39535,25.0,0.0,13.2,27.7
827,2023년 08월 26일,중구,94945,86816,18827,100446,90906,19592,25.0,0.0,13.2,27.7
828,2023년 08월 26일,대덕구,52943,46272,9883,55668,48190,10294,25.0,0.0,13.2,27.7
829,2023년 08월 26일,유성구,97520,89368,19126,102792,93777,19958,25.0,0.0,13.2,27.7
830,2023년 08월 27일,동구,100985,85845,20636,105178,89016,21463,26.2,0.0,13.2,28.2
831,2023년 08월 27일,서구,120330,105136,28145,127922,110752,29343,26.2,0.0,13.2,28.2
832,2023년 08월 27일,중구,70270,63621,13706,74697,66872,14289,26.2,0.0,13.2,28.2
833,2023년 08월 27일,대덕구,37790,33386,6875,39917,34855,7187,26.2,0.0,13.2,28.2
834,2023년 08월 27일,유성구,72563,68558,15013,76880,72253,15722,26.2,0.0,13.2,28.2
835,2023년 08월 28일,동구,151214,134618,38786,159021,140459,40111,26.1,0.0,13.1,27.7
836,2023년 08월 28일,서구,222910,195331,53712,233316,203114,55283,26.1,0.0,13.1,27.7
837,2023년 08월 28일,중구,120581,108670,26179,128781,113918,27272,26.1,0.0,13.1,27.7
838,2023년 08월 28일,대덕구,77526,69822,16374,82067,72825,16886,26.1,0.0,13.1,27.7
839,2023년 08월 28일,유성구,130071,119521,28052,136552,124725,28889,26.1,0.0,13.1,27.7
840,2023년 08월 29일,동구,143718,127656,36807,151207,133256,38145,24.8,5.5,13.1,26.0
841,2023년 08월 29일,서구,220148,191083,51790,230647,198964,53269,24.8,5.5,13.1,26.0
842,2023년 08월 29일,중구,117606,105707,25356,125806,110908,26527,24.8,5.5,13.1,26.0
843,2023년 08월 29일,대덕구,75301,67202,15661,79963,70102,16193,24.8,5.5,13.1,26.0
844,2023년 08월 29일,유성구,131464,119665,27814,138422,125069,28773,24.8,5.5,13.1,26.0
845,2023년 08월 30일,동구,143178,126294,36670,150846,131803,37968,21.1,44.4,13.0,23.3
846,2023년 08월 30일,서구,220690,191021,52247,231638,198892,53775,21.1,44.4,13.0,23.3
847,2023년 08월 30일,중구,118811,106005,25710,127022,111080,26843,21.1,44.4,13.0,23.3
848,2023년 08월 30일,대덕구,73527,64676,14961,78024,67410,15462,21.1,44.4,13.0,23.3
849,2023년 08월 30일,유성구,131597,117788,27579,138819,123229,28534,21.1,44.4,13.0,23.3
850,2023년 08월 31일,동구,154524,137492,38986,162854,143644,40421,22.5,0.0,13.0,26.0
851,2023년 08월 31일,서구,228635,199494,54537,239591,207806,56147,22.5,0.0,13.0,26.0
852,2023년 08월 31일,중구,126502,114540,26968,135615,120437,28171,22.5,0.0,13.0,26.0
853,2023년 08월 31일,대덕구,76906,68936,16031,81585,72045,16586,22.5,0.0,13.0,26.0
854,2023년 08월 31일,유성구,136057,124676,28734,143284,130365,29783,22.5,0.0,13.0,26.0
855,2023년 09월 01일,동구,169666,149915,41612,178793,156741,43283,23.1,0.0,13.0,26.5
856,2023년 09월 01일,서구,243619,212920,58467,255916,222269,60405,23.1,0.0,13.0,26.5
857,2023년 09월 01일,중구,129568,119526,28590,138660,125567,29897,23.1,0.0,13.0,26.5
858,2023년 09월 01일,대덕구,83066,73517,16319,88058,76803,16939,23.1,0.0,13.0,26.5
859,2023년 09월 01일,유성구,152735,137989,32546,161394,144816,33868,23.1,0.0,13.0,26.5
860,2023년 09월 02일,동구,131125,117064,28927,136822,121518,29945,24.6,0.0,12.9,27.7
861,2023년 09월 02일,서구,171501,149413,39473,181427,156992,41146,24.6,0.0,12.9,27.7
862,2023년 09월 02일,중구,97716,89069,19260,103609,93383,20060,24.6,0.0,12.9,27.7
863,2023년 09월 02일,대덕구,53377,46915,9735,56286,48947,10219,24.6,0.0,12.9,27.7
864,2023년 09월 02일,유성구,102211,93415,20017,107909,98212,20880,24.6,0.0,12.9,27.7
865,2023년 09월 03일,동구,104456,87683,20548,108961,91083,21325,27.0,0.0,12.9,30.7
866,2023년 09월 03일,서구,124155,108415,29555,132180,114418,30809,27.0,0.0,12.9,30.7
867,2023년 09월 03일,중구,70509,63292,13704,74968,66548,14249,27.0,0.0,12.9,30.7
868,2023년 09월 03일,대덕구,39925,35616,6956,42124,37161,7288,27.0,0.0,12.9,30.7
869,2023년 09월 03일,유성구,75578,71796,15819,80238,75687,16614,27.0,0.0,12.9,30.7
870,2023년 09월 04일,동구,163235,143941,42178,171653,150193,43657,27.4,0.0,12.9,29.8
871,2023년 09월 04일,서구,239764,209493,58709,250930,217929,60499,27.4,0.0,12.9,29.8
872,2023년 09월 04일,중구,127161,114738,29012,135674,120285,30201,27.4,0.0,12.9,29.8
873,2023년 09월 04일,대덕구,80582,72933,16482,85453,76216,17067,27.4,0.0,12.9,29.8
874,2023년 09월 04일,유성구,152578,140131,34011,160704,146560,35299,27.4,0.0,12.9,29.8
875,2023년 09월 05일,동구,165117,145755,43302,173617,152012,44875,26.9,0.0,12.8,30.7
876,2023년 09월 05일,서구,240824,210473,58565,252256,219174,60312,26.9,0.0,12.8,30.7
877,2023년 09월 05일,중구,130556,118618,29494,139612,124547,30856,26.9,0.0,12.8,30.7
878,2023년 09월 05일,대덕구,83189,74818,17162,88214,78137,17784,26.9,0.0,12.8,30.7
879,2023년 09월 05일,유성구,152210,138475,33163,160087,144663,34375,26.9,0.0,12.8,30.7
880,2023년 09월 06일,동구,163052,144212,42734,171862,150714,44362,26.0,0.0,12.8,29.2
881,2023년 09월 06일,서구,244750,212740,59999,257036,221889,61904,26.0,0.0,12.8,29.2
882,2023년 09월 06일,중구,128611,116687,29120,138224,123152,30556,26.0,0.0,12.8,29.2
883,2023년 09월 06일,대덕구,82650,74433,17056,87545,77749,17649,26.0,0.0,12.8,29.2
884,2023년 09월 06일,유성구,152795,139392,33027,161237,146177,34353,26.0,0.0,12.8,29.2
885,2023년 09월 07일,동구,164744,146653,43207,173407,153069,44823,25.0,0.0,12.8,30.5
886,2023년 09월 07일,서구,243319,212731,59791,254763,221277,61578,25.0,0.0,12.8,30.5
887,2023년 09월 07일,중구,130540,118669,29524,139576,124670,30853,25.0,0.0,12.8,30.5
888,2023년 09월 07일,대덕구,83243,74603,17208,88149,77898,17796,25.0,0.0,12.8,30.5
889,2023년 09월 07일,유성구,152698,138565,32942,160752,144967,34214,25.0,0.0,12.8,30.5
